Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Droprate (%),Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1628776794.578075,1628776794.590625,740,12.550115585327148,40,7,5,8847,1329,11,5,8689,983,
1628776795.626106,1628776795.638964,741,12.857913970947266,40,7,5,8849,1329,11,5,8691,983,
1628776796.671157,1628776796.684843,742,13.686180114746094,40,7,7,8849,1475,11,7,8691,1045,
1628776797.723116,1628776797.736811,743,13.695001602172852,40,7,5,8850,1329,11,5,8692,983,
1628776798.777673,1628776798.789039,744,11.365890502929688,40,7,5,8847,1329,11,5,8689,983,
1628776799.838436,1628776799.85024,745,11.80410385131836,40,7,5,8850,1329,11,5,8692,983,
1628776800.887486,1628776800.899025,746,11.538982391357422,40,7,5,8860,1329,11,5,8702,983,
1628776801.923148,1628776801.934613,747,11.465072631835938,40,7,5,8856,1329,11,5,8698,983,
1628776802.962708,1628776802.974244,748,11.536121368408203,40,7,5,8837,1329,11,5,8679,983,
1628776804.001687,1628776804.014584,749,12.897014617919922,40,7,5,8852,1329,11,5,8694,983,
1628776805.043548,1628776805.05506,750,11.511802673339844,40,7,5,8856,1329,11,5,8698,983,
1628776806.080088,1628776806.093327,751,13.239145278930664,40,13,5,9433,1329,17,5,9023,983,
1628776807.121584,1628776807.134016,752,12.432098388671875,40,7,5,8856,1329,11,5,8698,983,
1628776808.174108,1628776808.186476,753,12.367963790893555,40,7,5,8851,1329,11,5,8693,983,
1628776809.218374,1628776809.231329,754,12.954950332641602,40,9,5,9026,1329,13,5,8784,983,
1628776810.258292,1628776810.269562,755,11.27004623413086,40,7,5,8847,1329,11,5,8689,983,
1628776811.309213,1628776811.322592,756,13.379096984863281,40,9,7,9030,1475,13,7,8788,1045,
1628776812.357593,1628776812.370148,757,12.55488395690918,40,7,5,8854,1329,11,5,8696,983,
1628776813.411299,1628776813.422748,758,11.449098587036133,40,9,5,9079,1329,13,5,8837,983,
1628776814.46966,1628776814.483295,759,13.634920120239258,40,12,5,9304,1329,15,5,8936,983,
1628776815.522385,1628776815.534117,760,11.732101440429688,40,7,5,8852,1329,11,5,8694,983,
1628776816.568949,1628776816.583295,761,14.346122741699219,40,7,5,8845,1329,11,5,8687,983,
