Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Droprate (%),Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1628780880.230238,1628780880.237955,2801,7.717132568359375,40,15,5,13831,1329,19,5,13337,983,
1628780881.26948,1628780881.274854,2802,5.373954772949219,40,11,5,13421,1329,15,5,13095,983,
1628780882.304446,1628780882.308847,2803,4.400968551635742,40,13,5,13658,1330,17,5,13248,984,
1628780883.33183,1628780883.33865,2804,6.819963455200195,40,13,5,13609,1329,17,5,13199,983,
1628780884.368,1628780884.375342,2805,7.341861724853516,40,13,5,13605,1329,17,5,13195,983,
1628780885.40382,1628780885.409322,2806,5.501985549926758,40,13,5,13606,1329,17,5,13196,983,
1628780886.431891,1628780886.438008,2807,6.117105484008789,40,13,5,13599,1329,17,5,13189,983,
1628780887.471558,1628780887.476912,2808,5.3539276123046875,40,11,5,13425,1329,15,5,13099,983,
1628780888.52227,1628780888.530091,2809,7.821083068847656,40,13,5,13604,1329,17,5,13194,983,
1628780889.559041,1628780889.566431,2810,7.390022277832031,40,13,5,13609,1329,17,5,13199,983,
1628780890.604962,1628780890.61156,2811,6.597995758056641,40,17,5,14004,1329,21,5,13426,983,
1628780891.633636,1628780891.638647,2812,5.011081695556641,40,13,5,13601,1329,17,5,13191,983,
1628780892.687204,1628780892.693958,2813,6.754159927368164,40,13,5,13597,1329,17,5,13187,983,
1628780893.733564,1628780893.738026,2814,4.462003707885742,40,13,5,13608,1329,17,5,13198,983,
1628780894.762122,1628780894.769802,2815,7.680177688598633,40,11,5,13420,1329,15,5,13094,983,
1628780895.799419,1628780895.803507,2816,4.088163375854492,40,13,5,13597,1329,17,5,13187,983,
1628780896.842437,1628780896.850243,2817,7.806062698364258,40,16,5,13867,1329,20,5,13331,983,
1628780897.871822,1628780897.878497,2818,6.674766540527344,40,15,6,13786,1403,19,6,13292,1015,
1628780898.901852,1628780898.909134,2819,7.282018661499023,40,18,5,14044,1329,22,5,13424,983,
1628780899.967475,1628780899.971427,2820,3.9520263671875,40,11,5,13425,1329,15,5,13099,983,
1628780901.002399,1628780901.00958,2821,7.180929183959961,40,17,5,13960,1329,21,5,13382,983,
1628780902.06709,1628780902.073931,2822,6.840944290161133,40,12,5,13508,1329,15,5,13140,983,
1628780903.098596,1628780903.109202,2823,10.605812072753906,40,15,5,13778,1329,19,5,13284,983,
1628780904.157695,1628780904.165697,2824,8.002042770385742,40,19,5,14193,1327,23,5,13529,983,
1628780905.198138,1628780905.204923,2825,6.784915924072266,40,14,5,13686,1329,18,5,13234,983,
1628780906.232484,1628780906.241594,2826,9.109973907470703,40,19,5,14138,1329,22,5,13476,983,
1628780907.271217,1628780907.278293,2827,7.075786590576172,40,16,5,13868,1329,20,5,13332,983,
1628780908.313776,1628780908.320784,2828,7.008075714111328,40,18,5,14051,1329,21,5,13431,983,
1628780909.352667,1628780909.361898,2829,9.230852127075195,40,17,5,13955,1329,20,5,13377,983,
1628780910.388513,1628780910.393585,2830,5.071878433227539,40,16,5,13875,1329,19,5,13339,983,
1628780911.42616,1628780911.433751,2831,7.591009140014648,40,17,5,13954,1329,21,5,13376,983,
1628780912.464026,1628780912.468115,2832,4.089117050170898,40,11,5,13426,1329,15,5,13100,983,
1628780913.502999,1628780913.509791,2833,6.791830062866211,40,13,5,13604,1329,17,5,13194,983,
1628780914.530895,1628780914.537137,2834,6.242036819458008,40,13,5,13609,1329,17,5,13199,983,
1628780915.559144,1628780915.564634,2835,5.49006462097168,40,17,5,13957,1329,20,5,13379,983,
1628780916.594175,1628780916.60176,2836,7.584810256958008,40,18,5,14051,1329,22,5,13431,983,
1628780917.623613,1628780917.629715,2837,6.101846694946289,40,17,5,13963,1329,20,5,13385,983,
1628780918.65532,1628780918.661858,2838,6.538152694702148,40,13,5,13659,1326,17,5,13246,983,
1628780919.691513,1628780919.695516,2839,4.003047943115234,40,11,5,13420,1329,15,5,13094,983,
1628780920.719373,1628780920.724841,2840,5.468130111694336,40,16,5,13871,1329,19,5,13335,983,
1628780921.759449,1628780921.769035,2841,9.586095809936523,40,13,5,13604,1329,17,5,13194,983,
1628780922.807691,1628780922.813955,2842,6.263971328735352,40,16,5,13876,1330,19,5,13340,984,
1628780923.838834,1628780923.845388,2843,6.553888320922852,40,13,7,13609,1475,17,7,13199,1045,
1628780924.885428,1628780924.88966,2844,4.231929779052734,40,13,5,13653,1326,17,5,13240,983,
1628780925.917012,1628780925.923438,2845,6.426095962524414,40,16,5,13876,1329,19,5,13340,983,
1628780926.948939,1628780926.956437,2846,7.498025894165039,40,20,5,14221,1329,23,5,13517,983,
1628780927.981053,1628780927.986729,2847,5.675792694091797,40,13,5,13597,1329,17,5,13187,983,
1628780929.009217,1628780929.015337,2848,6.119966506958008,40,13,5,13601,1329,17,5,13191,983,
1628780930.041071,1628780930.045028,2849,3.957033157348633,40,11,5,13429,1329,15,5,13103,983,
1628780931.076758,1628780931.080804,2850,4.046201705932617,40,13,5,13655,1329,17,5,13245,983,
1628780932.10734,1628780932.114505,2851,7.164955139160156,40,13,5,13603,1329,17,5,13193,983,
1628780933.138383,1628780933.145599,2852,7.215976715087891,40,11,5,13421,1329,15,5,13095,983,
1628780934.173537,1628780934.178867,2853,5.330085754394531,40,13,5,13606,1329,17,5,13196,983,
1628780935.201047,1628780935.205003,2854,3.9560794830322266,40,11,5,13430,1329,15,5,13104,983,
1628780936.242656,1628780936.247371,2855,4.7149658203125,40,13,5,13599,1329,17,5,13189,983,
1628780937.273133,1628780937.278023,2856,4.889965057373047,40,13,5,13658,1326,17,5,13245,983,
1628780938.304738,1628780938.309438,2857,4.699945449829102,40,11,5,13424,1329,15,5,13098,983,
1628780939.333495,1628780939.339269,2858,5.774021148681641,40,13,5,13608,1329,17,5,13198,983,
1628780940.364093,1628780940.373131,2859,9.037971496582031,40,15,5,13828,1329,19,5,13334,983,
1628780941.403648,1628780941.408593,2860,4.945039749145508,40,11,5,13429,1329,15,5,13103,983,
1628780942.442309,1628780942.446782,2861,4.473209381103516,40,11,5,13423,1329,15,5,13097,983,
1628780943.471062,1628780943.477547,2862,6.4849853515625,40,13,5,13609,1329,17,5,13199,983,
1628780944.510454,1628780944.516172,2863,5.717992782592773,40,11,5,13420,1329,15,5,13094,983,
1628780945.548599,1628780945.55306,2864,4.461050033569336,40,11,5,13419,1329,15,5,13093,983,
1628780946.602728,1628780946.608458,2865,5.730152130126953,40,13,5,13599,1329,17,5,13189,983,
1628780947.63787,1628780947.644588,2866,6.717920303344727,40,19,5,14135,1329,23,5,13473,983,
1628780948.670741,1628780948.677975,2867,7.233858108520508,40,13,5,13606,1329,17,5,13196,983,
1628780949.713559,1628780949.718828,2868,5.269050598144531,40,13,5,13600,1329,17,5,13190,983,
1628780950.743803,1628780950.749852,2869,6.048917770385742,40,13,5,13604,1329,17,5,13194,983,
1628780951.784889,1628780951.790888,2870,5.999088287353516,40,11,5,13429,1329,15,5,13103,983,
1628780952.826973,1628780952.83132,2871,4.347085952758789,40,13,5,13609,1329,17,5,13199,983,
1628780953.866471,1628780953.873224,2872,6.752967834472656,40,11,5,13427,1329,15,5,13101,983,
1628780954.9103,1628780954.915096,2873,4.796028137207031,40,11,7,13422,1475,15,7,13096,1045,
1628780955.960696,1628780955.965396,2874,4.699945449829102,40,15,5,13833,1329,19,5,13339,983,
1628780956.994322,1628780957.001751,2875,7.428884506225586,40,13,7,13606,1475,17,7,13196,1045,
1628780958.032264,1628780958.038233,2876,5.969047546386719,40,13,5,13656,1326,17,5,13243,983,
1628780959.070725,1628780959.076931,2877,6.206035614013672,40,13,5,13608,1329,17,5,13198,983,
1628780960.113645,1628780960.121798,2878,8.152961730957031,40,13,5,13598,1329,17,5,13188,983,
1628780961.151804,1628780961.157365,2879,5.561113357543945,40,11,5,13421,1329,15,5,13095,983,
1628780962.189827,1628780962.197439,2880,7.611989974975586,40,13,5,13598,1329,17,5,13188,983,
