Start timestamp (s),End timestamp (s),Handshake number,Handshake duration (ms),Droprate (%),Number of handshake packets,Number of payload packets,Number of handshake bytes,Number of payload bytes,Number of long headers,Number of short headers,Bytes for long headers,Bytes for short headers,
1628782299.540203,1628782299.546904,3157,6.700992584228516,40,6,5,6637,1329,10,5,6521,983,
1628782300.573815,1628782300.582068,3158,8.252859115600586,40,6,6,6635,1404,10,6,6519,1016,
1628782301.618023,1628782301.625628,3159,7.605075836181641,40,6,5,6629,1329,10,5,6513,983,
1628782302.652614,1628782302.659666,3160,7.051944732666016,40,6,5,6640,1329,10,5,6524,983,
1628782303.682914,1628782303.689755,3161,6.840944290161133,40,6,7,6633,1475,10,7,6517,1045,
1628782304.712777,1628782304.721453,3162,8.67605209350586,40,6,5,6639,1329,10,5,6523,983,
1628782305.751385,1628782305.757924,3163,6.539106369018555,40,6,5,6632,1329,10,5,6516,983,
1628782306.779683,1628782306.797628,3164,17.944812774658203,40,6,5,6630,1329,10,5,6514,983,
1628782307.821878,1628782307.8298,3165,7.921934127807617,40,6,5,6638,1329,10,5,6522,983,
1628782308.857855,1628782308.865885,3166,8.029937744140625,40,6,5,6633,1329,10,5,6517,983,
1628782309.900539,1628782309.909003,3167,8.46409797668457,40,6,5,6638,1329,10,5,6522,983,
1628782310.936843,1628782310.944131,3168,7.2879791259765625,40,8,5,6860,1329,12,5,6660,983,
1628782311.979002,1628782311.987224,3169,8.222103118896484,40,6,5,6627,1329,10,5,6511,983,
1628782313.017639,1628782313.025769,3170,8.130073547363281,40,6,5,6636,1329,10,5,6520,983,
1628782314.053455,1628782314.061874,3171,8.418798446655273,40,6,5,6635,1329,10,5,6519,983,
1628782315.093597,1628782315.100813,3172,7.215976715087891,40,6,5,6639,1329,10,5,6523,983,
1628782316.139215,1628782316.147125,3173,7.910013198852539,40,6,5,6631,1329,10,5,6515,983,
1628782317.170156,1628782317.179087,3174,8.93092155456543,40,6,5,6633,1329,10,5,6517,983,
