RSA,Dilithium 2,Dilithium 3,Dilithium 5,Falcon 512,Falcon 1024,
Handshake duration (ms),Handshake duration (ms),Handshake duration (ms),Handshake duration (ms),Handshake duration (ms),Handshake duration (ms),
384.45019721984863,408.1768989562988,405.6520462036133,363.6059761047363,395.9670066833496,380.25903701782227,
389.90092277526855,403.37300300598145,370.99504470825195,403.7449359893799,396.1479663848877,393.56493949890137,
383.72302055358887,425.7340431213379,406.21209144592285,405.7941436767578,374.1190433502197,376.53112411499023,
390.5370235443115,402.85396575927734,422.9581356048584,404.9971103668213,390.3069496154785,362.1819019317627,
390.63310623168945,364.4239902496338,368.2599067687988,406.64100646972656,391.3459777832031,370.11098861694336,
391.3121223449707,425.0319004058838,379.3330192565918,396.96788787841797,391.66903495788574,391.50285720825195,
385.91885566711426,412.3358726501465,365.07415771484375,411.91697120666504,383.0749988555908,379.47797775268555,
370.4040050506592,378.07297706604004,406.3279628753662,406.2049388885498,388.61989974975586,397.97091484069824,
394.50621604919434,402.16994285583496,417.10495948791504,407.1030616760254,397.63402938842773,383.14104080200195,
375.0178813934326,360.73899269104004,382.159948348999,403.5379886627197,383.60095024108887,390.1650905609131,
394.60301399230957,366.55282974243164,396.3141441345215,406.7399501800537,370.61285972595215,392.132043838501,
389.890193939209,382.8620910644531,403.702974319458,361.7749214172363,392.0929431915283,384.0060234069824,
379.49585914611816,398.0720043182373,369.45199966430664,398.190975189209,383.2530975341797,378.2482147216797,
402.7078151702881,359.47394371032715,396.26193046569824,378.93104553222656,371.1559772491455,425.04191398620605,
381.0760974884033,427.4289608001709,425.48108100891113,366.8360710144043,392.7149772644043,356.6129207611084,
393.9709663391113,407.78493881225586,395.07293701171875,367.10309982299805,388.8590335845947,386.6579532623291,
384.6750259399414,391.59297943115234,380.7229995727539,392.3661708831787,380.53202629089355,391.42394065856934,
387.4070644378662,402.88400650024414,409.38806533813477,385.9729766845703,398.3449935913086,382.27009773254395,
371.43993377685547,406.3000679016113,385.85901260375977,390.9411430358887,379.3158531188965,375.96797943115234,
383.7568759918213,402.9960632324219,395.49708366394043,405.7319164276123,366.4860725402832,379.52613830566406,
387.29095458984375,396.3789939880371,421.1158752441406,399.19590950012207,395.60484886169434,361.62805557250977,
382.74502754211426,401.0279178619385,418.69211196899414,380.8431625366211,385.87093353271484,405.7440757751465,
398.7429141998291,407.5438976287842,445.0559616088867,384.24205780029297,393.59498023986816,378.6787986755371,
380.10692596435547,389.0352249145508,408.2751274108887,399.9359607696533,395.6179618835449,407.1011543273926,
394.6490287780762,392.4717903137207,415.9829616546631,397.0310688018799,430.8760166168213,376.2948513031006,
388.35811614990234,400.9261131286621,404.51598167419434,409.1780185699463,384.3519687652588,358.5221767425537,
376.7850399017334,385.78200340270996,371.1409568786621,435.5928897857666,378.0388832092285,394.4408893585205,
375.7350444793701,401.5660285949707,373.7931251525879,396.7399597167969,389.3129825592041,357.90300369262695,
388.2489204406738,380.32984733581543,392.13085174560547,369.0330982208252,400.8209705352783,383.5000991821289,
393.1570053100586,395.32017707824707,365.602970123291,409.7919464111328,365.8559322357178,413.1901264190674,
384.51695442199707,409.24596786499023,436.2218379974365,411.9539260864258,383.8469982147217,379.41908836364746,
396.8830108642578,427.462100982666,407.573938369751,404.5579433441162,404.526948928833,394.2608833312988,
370.8531856536865,355.1971912384033,417.9232120513916,387.8898620605469,380.24306297302246,383.4969997406006,
397.8760242462158,408.2159996032715,420.3600883483887,391.8919563293457,399.01185035705566,394.67501640319824,
359.9131107330322,365.6268119812012,363.2848262786865,405.73787689208984,377.7120113372803,384.72914695739746,
395.59412002563477,408.54787826538086,428.73501777648926,408.5500240325928,378.6439895629883,392.7168846130371,
393.01514625549316,399.3871212005615,366.78004264831543,408.9961051940918,401.5958309173584,397.22609519958496,
385.6809139251709,403.83219718933105,379.7910213470459,407.4411392211914,381.29711151123047,390.4299736022949,
373.7928867340088,376.2040138244629,408.16712379455566,412.22095489501953,378.5560131072998,370.7590103149414,
390.9571170806885,366.98412895202637,413.4681224822998,404.5219421386719,371.3369369506836,387.76183128356934,
391.5209770202637,401.1571407318115,384.51695442199707,412.0309352874756,388.39197158813477,359.73405838012695,
386.1269950866699,388.50903511047363,392.6699161529541,385.09202003479004,377.66385078430176,387.65692710876465,
388.1261348724365,429.43692207336426,387.0100975036621,392.46296882629395,371.3419437408447,383.3880424499512,
369.8241710662842,394.6831226348877,422.9269027709961,399.33300018310547,360.0800037384033,365.30494689941406,
399.3210792541504,418.12896728515625,377.90989875793457,374.97997283935547,376.27100944519043,392.4291133880615,
382.9219341278076,416.6450500488281,409.2528820037842,396.1160182952881,363.6178970336914,388.6599540710449,
383.1498622894287,386.97099685668945,406.0990810394287,407.5939655303955,384.4258785247803,390.55514335632324,
380.2609443664551,410.6719493865967,389.39881324768066,394.2852020263672,382.9920291900635,377.0129680633545,
394.2070007324219,398.49400520324707,412.26792335510254,419.7561740875244,385.06102561950684,404.1869640350342,
385.99109649658203,408.4289073944092,647.648811340332,382.60889053344727,395.4761028289795,384.78589057922363,
392.1241760253906,404.8490524291992,735.3858947753906,372.87187576293945,379.2738914489746,387.3481750488281,
393.40710639953613,386.48009300231934,658.6859226226807,365.5569553375244,397.23896980285645,392.1780586242676,
428.26199531555176,421.6961860656738,423.65288734436035,376.0538101196289,370.6541061401367,382.5349807739258,
388.5490894317627,395.0378894805908,419.0199375152588,364.24994468688965,390.8581733703613,375.4110336303711,
378.7369728088379,418.49613189697266,363.29197883605957,369.08721923828125,385.012149810791,354.3851375579834,
402.7729034423828,410.39299964904785,369.07410621643066,408.4889888763428,391.98803901672363,404.15501594543457,
377.3791790008545,394.79804039001465,668.7881946563721,389.23001289367676,364.5200729370117,359.6019744873047,
367.9089546203613,388.41700553894043,374.9430179595947,398.6508846282959,398.6198902130127,394.13905143737793,
399.15990829467773,391.50094985961914,414.02602195739746,402.7888774871826,392.3449516296387,390.73920249938965,
397.53198623657227,395.98894119262695,420.9249019622803,376.9359588623047,389.21403884887695,384.1841220855713,
385.0131034851074,390.8121585845947,404.56295013427734,393.91589164733887,388.1850242614746,392.28200912475586,
386.14511489868164,423.75898361206055,615.6890392303467,413.33794593811035,402.6920795440674,380.6130886077881,
407.6359272003174,414.67881202697754,391.68715476989746,405.1840305328369,369.68398094177246,383.5611343383789,
366.01901054382324,414.5221710205078,366.2431240081787,396.9430923461914,417.35100746154785,376.3089179992676,
380.3069591522217,413.0289554595947,410.02392768859863,369.3249225616455,389.56189155578613,367.8300380706787,
394.59800720214844,386.3070011138916,432.0201873779297,405.0450325012207,399.1870880126953,400.8760452270508,
397.2358703613281,418.1520938873291,398.4048366546631,365.3120994567871,376.1589527130127,388.2119655609131,
394.88792419433594,416.72301292419434,379.76908683776855,400.6180763244629,375.06794929504395,380.5699348449707,
387.01605796813965,415.1880741119385,409.81507301330566,384.65118408203125,392.73905754089355,390.72394371032715,
395.0061798095703,412.24002838134766,401.015043258667,386.7149353027344,388.1640434265137,405.1930904388428,
418.2291030883789,399.9960422515869,403.02014350891113,409.5590114593506,390.55919647216797,384.9821090698242,
394.9110507965088,404.27279472351074,472.4569320678711,394.75107192993164,374.65500831604004,393.8322067260742,
390.05112648010254,386.63601875305176,373.92306327819824,403.8569927215576,367.68603324890137,393.8450813293457,
378.93009185791016,370.92089653015137,380.0199031829834,358.1500053405762,383.39996337890625,402.2388458251953,
393.13197135925293,390.11621475219727,424.53503608703613,394.298791885376,395.6317901611328,387.35485076904297,
397.5811004638672,410.52794456481934,412.28795051574707,405.7340621948242,388.60297203063965,365.1719093322754,
379.3470859527588,410.22586822509766,429.25381660461426,358.5498332977295,384.58704948425293,401.7050266265869,
370.09596824645996,389.1630172729492,415.4961109161377,409.21497344970703,370.27883529663086,385.68806648254395,
390.06590843200684,408.48708152770996,403.7778377532959,406.0230255126953,375.06103515625,356.7650318145752,
404.6919345855713,402.22907066345215,396.6398239135742,363.2631301879883,384.1228485107422,400.3121852874756,
374.8188018798828,394.78087425231934,368.96705627441406,410.77494621276855,392.60005950927734,396.65794372558594,
384.77301597595215,368.257999420166,364.1681671142578,394.17290687561035,398.17214012145996,376.7220973968506,
393.75805854797363,392.8849697113037,392.719030380249,409.36994552612305,378.7670135498047,382.68089294433594,
375.29706954956055,386.50012016296387,398.84209632873535,403.23686599731445,367.56110191345215,408.26416015625,
398.162841796875,400.454044342041,398.3428478240967,386.55805587768555,379.5499801635742,409.4278812408447,
